"","title","appears.on","artist","writers","producer","released","streak"
"172","Piano Man","Piano Man (Columbia)","Billy Joel","Joel","Michael Stewart","Nov. '73, Columbia","14 weeks; No. 25"
"173","Its Your Thing","The Ultimate Isley Brothers (Legacy)","The Isley Brothers","Rudolph Isley, Ronald lsley, O'Kelly Isley","R. Isley, R. Isley, O. Isley","Feb. '69, T-Neck","14 weeks; No. 2"
"174","Nuthin But a G Thang","The Chronic (Death Row)","Dr. Dre","Snoop Dogg","Dr. Dre","Jan. '93, Death Row","27 weeks; No. 2"
"175","Stills and Nash","Crosby, Stills and Nash (Atlantic)","Crosby","Stephen Stills","David Crosby, Stills, Graham Nash","June '69, Atlantic","12 weeks; No. 21"
"176","Fuck tha Police","Straight Outta Compton (Priority)","N.W.A","Ice Cube, MC Ren","Dr. Dre, Yella","Jan. '89, Priority","Non-Single"
"177","Juicy","Ready to Die (Bad Boy)","The Notorious B.I.G.","The Notorious B.I.G.","Sean ""Puffy"" Combs, Poke","Aug '94, Bad Boy","20 weeks; No. 27"
"178","The Boys of Summer","Building the Perfect Beast (Geffen)","Don Henley","Henley, Mike Campbell","Henley, Campbell, Danny Kortchmar, Greg Ladanyi","Nov. '84, Geffen","22 weeks; No. 5"
"179","Cant Help Myself","The Ultimate Collection (Motown)","The Four Tops","Eddie Holland, Lamont Dozier, Brian Holland","Holland, Dozier, Holland","June '65, Motown","14 weeks; No. 1"
"180","Young Blood","The Very Best of the Coasters (Rhino)","The Coasters","Jerry Leiber, Mike Stoller, Doc Pomus","Leiber, Stoller","May '57, Atco","11 weeks; No. 1"
"181","The Girl Cant Help It","The Georgia Peach (Specialty)","Little Richard","Bobby Troup","Robert ""Bumps"" Blackwell","Jan. '57, Specialty","8 weeks; No. 49"
"182","Ode to Billie Joe","Greatest Hits (Curb)","Bobbie Gentry","Gentry","Kelly Gordon, Bobby Paris","July '67, Capitol","14 weeks; No. 1"
"183","I Feel Love","The Donna Summer Anthology (Casablanca)","Donna Summer","Summer, Giorgio Moroder, Pete Bellotte","Moroder, Bellotte","May '77, Casablanca","23 weeks; No. 6"
"184","Monkey Gone to Heaven","Doolittle (4 AD/Elektra)","Pixies","Black Francis","Gil Norton","March '89, Elektra","Did Not Chart"
"185","Sweet Emotion","Toys in the Attic (Sony)","Aerosmith","Steven Tyler, Tom Hamilton","Jack Douglas","April '75, Columbia","8 weeks; No. 36"
"186","In Bloom","Nevermind (Geffen)","Nirvana","Kurt Cobain","Butch Vig","Sept. '91, DGC","Non-Single"
"187","Weve Only Just Begun","Singles 1969-1981 (Interscope)","Carpenters","Paul Williams, Roger Nichols","Jack Daugherty","Sept. '70, A&M","17 weeks; No. 2"
"188","Visions of Johanna","Blonde on Blonde (Columbia)","Bob Dylan","Dylan","Bob Johnston","May '66, Columbia","Non-Single"
"189","Umbrella","Good Girl Gone Bad (Def Jam)","Rihanna Featuring Jay-Z","The-Dream, Kuk Harrell, Jay-Z, Christopher ""Tricky"" Stewart","Harrell, Stewart","March' 07, Def Jam","27 weeks; No. 1"
"190","Cmon Everybody","Something' Else (Razor and Tie)","Eddie Cochran","Cochran, Jerry Capehart","Capehart","Oct. '58, Liberty","12 weeks; No. 35"
"191","Thank You (Falettinme Be Mice Elf Agin)","Anthology (Epic)","Sly and the Family Stone","Sly Stone","Stone","Jan. '70, Epic","13 weeks; No. 1"
"192","Tonights the Night","25 All-Time Greatest Hits (Varèse Fontana)","The Shirelles","Luther Dixon, Shirley Owens","Dixon","Sept. '60, Scepter","12 weeks; No. 39"
"193","Enter Sandman","Metallica (Elektra)","Metallica","James Hetfield, Lars Ulrich, Kirk Hammett","Bob Rock, Hetfield, Ulrich","July '91, Elektra","20 weeks; No. 16"
"194","Sweet Home Alabama","Second Helping (MCA)","Lynyrd Skynyrd","Ed King, Gary Rossington, Ronnie Van Zant","Al Kooper","April '74, MCA","17 weeks; No. 8"
"195","Thirteen","#1 Record/Radio City (Fantasy)","Big Star","Alex Chilton, Chris Bell","John Fry","April '72, Ardent","Non-Single"
"196","(Dont Fear) the Reaper","Agents of Fortune (Columbia)","Blue Öyster Cult","Donald Roeser","Murray Krugman, Sandy Pearlman, David Lucas","July '76, Columbia","14 weeks; No. 12"
"197","Remember (Walkin in the Sand)","The Best of the Shangri-Las (Mercury)","The Shangri-Las","George ""Shadow"" Morton","Morton","Aug. '64, Red Bird","11 weeks; No. 5"
"198","Cant Help Falling in Love","Elvis 30 #1 Hits (RCA)","Elvis Presley","George Weiss, Hugo Peretti, Luigi Creatore","Joseph Lilley","Oct. '61, RCA","14 weeks; No. 1"
"199","O-o-h Child","Soul Hits of the '70s: Didn't It Blow Your Mind! Vol. 2 (Rhino)","The Five Stairsteps","Stan Vincent","Vincent","April '70, Buddha","16 weeks; No. 8"
"200","Summer in the City","The Lovin' Spoonful Greatest Hits (Buddha)","The Lovin' Spoonful","John Sebastian, Steve Boone, Mark Sebastian","Erik Jacobsen","June '66, Kama Sutra","11 weeks; No. 1"
"201","Baby I Need Your Loving","The Ultimate Collection (Motown)","The Four Tops","Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland","July '64, Motown","12 weeks; No. 11"
"202","Just My Imagination","Anthology (Motown)","The Temptations","Norman Whitfield, Barrett Strong","Whitfield","Jan. '71, Gordy","15 weeks; No. 1"
"203","Roxanne","Outlandos d'Amour (Interscope)","The Police","Sting","The Police","Jan '79, A&M","13 weeks; No. 32"
"204","Tiny Dancer","Madman Across the Water (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Nov. '71, Uni","7 weeks; No. 41"
"205","Know You Got Soul","Paid in Full (Island)","Eric B. and Rakim","Eric B. and Rakim","Eric B. and Rakim","July '87, 4th and Broadway","Did Not Chart"
"206","Stills","Decade (Reprise)","Crosby","Neil Young","Crosby, Stills, Nash, Young","June '70, Atlantic","9 weeks; No. 14"
"207","Ticket to Ride","Help! (Capitol/Apple)","The Beatles","John Lennon, Paul McCartney","George Martin","April '65, Capitol","11 weeks; No. 1"
"208","Whipping Post","At Fillmore East (Mercury)","The Allman Brothers Band","Gregg Allman","Tom Dowd","Nov. '69, Capricorn","Non-single"
"209","Bitter Sweet Symphony","Urban Hymns (Virgin)","The Verve","Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth","Sept. '97, Virgin","20 weeks; No. 12"
"210","Tell It Like It Is","Tell It Like It Is: Golden Classics (Collectables)","Aaron Neville","George Davis, Lee Diamond","Davis","Nov. '66, Par Lo","14 weeks; No. 2"
"211","Goodbye Yellow Brick Road","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Sept. '73, MCA","17 weeks; No. 2"
"212","Radio Free Europe","Murmur (A&M)","R.E.M.","R.E.M.","Mitch Easter, Don Dixon","July '83, I.R.S.","5 weeks; No. 78"
"213","Pride (In the Name of Love)","The Unforgettable Fire (Island)","U2","Bono, the Edge, Adam Clayton, Larry Mullen Jr.","Brian Eno, Daniel Lanois","Oct. '84, Island","15 weeks; No. 33"
"214","Hit the Road Jack","Ultimate Hits Collection (Rhino)","Ray Charles","Percy Mayfield","Sid Feller","Sept. '61, ABC-Paramount","11 weeks; No. 1"
"215","Maps","Fever to Tell (Interscope)","Yeah Yeah Yeahs","Yeah Yeah Yeahs","David Andrew Sitek","Feb. '04, Interscope","13 weeks; No. 87"
"216","Fake Plastic Trees","The Bends (Capitol)","Radiohead","Radiohead","John Leckie","March '95, Capitol","4 weeks; No. 65"
"217","Another Brick in the Wall Part 2","The Wall (Capitol)","Pink Floyd","Roger Waters","Bob Ezrin, Waters, David Gilmour","Nov. '79, Columbia","25 weeks; No. 1"
"218","Brown Eyed Handsome Man","The Anthology (Chess)","Chuck Berry","Berry","Leonard Chess, Phil Chess","Sept. '56, Chess","Did Not Chart"
"219","Wonderful World","Portrait of a Legend 1951-1964 (ABKCO)","Sam Cooke","Cooke, Herb Alpert, Lou Adler","Cooke, Adler","May '60, RCA","15 weeks; No. 12"
"220","Marquee Moon","Marquee Moon (Elektra)","Television","Tom Verlaine","Andy Johns","Feb. '77, Elektra","Did Not Chart"
"221","I Cant Explain","The Ultimate Collection (MCA)","The Who","Pete Townshend","Shel Talmy","March '65, Decca","2 weeks; No. 93"
"222","The Wind Cries Mary","Are You Experienced? (MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","May '67, Reprise","8 weeks; No. 65"
"223","Im a Man","His Best: The Chess 50th Anniversary Collection (Chess)","Bo Diddley","Diddley","Leonard Chess","June '55, Checker","Did Not Chart"
"224","Personal Jesus","Violator (Sire)","Depeche Mode","Martin Gore","Depeche Mode, Flood","Nov. '89, Sire","20 weeks; No. 28"
"225","White Room","Wheels of Fire (Polygram)","Cream","Pete Brown, Jack Bruce","Felix Pappalardi","Aug. '68, Atco","11 weeks; No. 6"
"226","How Deep Is Your Love","Saturday Night Fever (Polygram)","Bee Gees","Bee Gees","Bee Gees, Karl Richardson, Albhy Galuten","Sept. '77, RSO","33 weeks; No. 1 "
"227","Unchained Melody","Anthology 1962-1974 (Rhino)","The Righteous Brothers","Alex North, Hy Zaret","Phil Spector","July '65, Philles","13 weeks; No. 4"
"228","Highway 61 Revisited","Highway 61 Revisited (Columbia)","Bob Dylan","Dylan","Bob Johnston","Aug. '65, Columbia","Did not chart"
"229","The Letter","The Letter (Sundazed)","The Box Tops","Wayne Carson Thompson","Dan Penn","July '67, Mala","16 weeks; No. 1"
"230","Complete Control","The Clash (Epic)","The Clash","Mick Jones, Joe Strummer","Lee ""Scratch"" Perry","July '79, Epic","Non-single "
"231","All You Need is Love","Magical Mystery Tour (Capitol)","The Beatles","John Lennon, Paul McCartney","George Martin","July '67, Capitol","11 weeks; No. 1"
"232","Killing Me Softly With His Song","Killing Me Softly (Atlantic)","Roberta Flack","Norman Gimbel, Charles Fox","Joel Dorn","Jan '73, Atlantic","16 weeks; No. 1"
"233","Got My Mojo Working","The Anthology (Chess/MCA)","Muddy Waters","Preston Foster","Phil Chess, Leonard Chess, Willie Dixon","1957, Chess","Did not chart"
"234","Nowhere to Run","The Ultimate Collection (Motown)","Martha and the Vandellas","Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Feb. '65, Gordy","11 weeks; No. 8"
"235","Little Wing","Axis: Bold as Love (Experience Hendrix/MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","Feb. '68, Reprise","Non-single"
"236","Sweet Dreams (Are Made of This)","Sweet Dreams (RCA)","Eurythmics","Annie Lennox, Dave Stewart","Stewart","April '83, RCA","26 weeks; No. 1"
"237","Bad Moon Rising","Green River (Fantasy)","Creedence Clearwater Revival","John Fogerty","Fogerty","April '69, Fantasy","14 weeks; No. 2"
"238","Watching the Detectives","My Aim Is True (Rhino)","Elvis Costello","Costello","Nick Lowe","Nov. '77, Columbia","Did not chart"
"239","Tears in Heaven","""Rush"" Soundtrack (Warner Bros.)","Eric Clapton","Clapton, Will Jennings","Russ Titelman","Jan. '92, Duck/Reprise","26 weeks; No. 2"
"240","All Shook Up","Elvis 30 #1 Hits (RCA)","Elvis Presley","Otis Blackwell, Presley","Steve Sholes","March '57, RCA","30 weeks; No. 1"
"241","The Great Pretender","The Magic Touch: An Anthology (Mercury)","The Platters","Buck Ram","Ram","Dec. '55, Mercury","24 weeks; No. 1"
"242","The Loco-Motion","The Loco-Motion (Rhino)","Little Eva","Gerry Goffin, Carole King","Goffin","June '62, Dimension","16 weeks; No. 1"
"243","Spanish Harlem","The Very Best of Ben E. King (Rhino)","Ben E. King","Phil Spector, Jerry Leiber","Mike Stoller, Leiber","Dec. '60, Atco","16 weeks; No. 10"
"244","That Lady (Part 1 and 2)","The Essential Isley Brothers (Legacy)","The Isley Brothers","The Isley Brothers","The Isley Brothers","July '73, T-Neck","20 weeks; No. 6"
"245","Candle in the Wind","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Oct. '73, MCA",""
"246","California Love","Greatest Hits (Death Row)","Dr. Dre and 2Pac","Dr. Dre, Chris Stainton, Roger Troutman, Larry Troutman, 2Pac","Dr. Dre","Feb. '96, Death Row","24 weeks; No. 6"
"247","La Bamba","The Ritchie Valens Story (Rhino)","Ritchie Valens","William Clauson","Bob Keane","Oct. '58, Del-Fi","15 weeks; No. 22"
"248","Piece of My Heart","Cheap Thrills (Columbia)","Big Brother and the Holding Company","Bert Berns, Jerry Ragovoy","John Simon","Aug. ’68, CBS","12 weeks; No. 12"
"249","Jim Dandy","Soul on Fire: The Best of LaVern Baker (Atlantic)","Lavern Baker","Lincoln Chase","Ahmet Ertegun,Jerry Wexler","Dec. '56, Atlantic","19 weeks; No. 17"
"250","Runaround Sue","Runaround Sue (Capitol)","Dion","Dion DiMucci, Ernie Maresca","Gene Schwartz","Sept. '61, Laurie","14 weeks; No. 1"
"251","Baby I Need Your Loving","The Ultimate Collection (Motown)","The Four Tops","Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland","July '64, Motown","12 weeks; No. 11"
"252","Just My Imagination","Anthology (Motown)","The Temptations","Norman Whitfield, Barrett Strong","Whitfield","Jan. '71, Gordy","15 weeks; No. 1"
"253","Roxanne","Outlandos d'Amour (Interscope)","The Police","Sting","The Police","Jan '79, A&M","13 weeks; No. 32"
"254","Tiny Dancer","Madman Across the Water (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Nov. '71, Uni","7 weeks; No. 41"
"255","Know You Got Soul","Paid in Full (Island)","Eric B. and Rakim","Eric B. and Rakim","Eric B. and Rakim","July '87, 4th and Broadway","Did Not Chart"
"256","Stills","Decade (Reprise)","Crosby","Neil Young","Crosby, Stills, Nash, Young","June '70, Atlantic","9 weeks; No. 14"
"257","Ticket to Ride","Help! (Capitol/Apple)","The Beatles","John Lennon, Paul McCartney","George Martin","April '65, Capitol","11 weeks; No. 1"
"258","Whipping Post","At Fillmore East (Mercury)","The Allman Brothers Band","Gregg Allman","Tom Dowd","Nov. '69, Capricorn","Non-single"
"259","Bitter Sweet Symphony","Urban Hymns (Virgin)","The Verve","Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth","Sept. '97, Virgin","20 weeks; No. 12"
"260","Tell It Like It Is","Tell It Like It Is: Golden Classics (Collectables)","Aaron Neville","George Davis, Lee Diamond","Davis","Nov. '66, Par Lo","14 weeks; No. 2"
"261","Goodbye Yellow Brick Road","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Sept. '73, MCA","17 weeks; No. 2"
"262","Radio Free Europe","Murmur (A&M)","R.E.M.","R.E.M.","Mitch Easter, Don Dixon","July '83, I.R.S.","5 weeks; No. 78"
"263","Pride (In the Name of Love)","The Unforgettable Fire (Island)","U2","Bono, the Edge, Adam Clayton, Larry Mullen Jr.","Brian Eno, Daniel Lanois","Oct. '84, Island","15 weeks; No. 33"
"264","Hit the Road Jack","Ultimate Hits Collection (Rhino)","Ray Charles","Percy Mayfield","Sid Feller","Sept. '61, ABC-Paramount","11 weeks; No. 1"
"265","Maps","Fever to Tell (Interscope)","Yeah Yeah Yeahs","Yeah Yeah Yeahs","David Andrew Sitek","Feb. '04, Interscope","13 weeks; No. 87"
"266","Fake Plastic Trees","The Bends (Capitol)","Radiohead","Radiohead","John Leckie","March '95, Capitol","4 weeks; No. 65"
"267","Another Brick in the Wall Part 2","The Wall (Capitol)","Pink Floyd","Roger Waters","Bob Ezrin, Waters, David Gilmour","Nov. '79, Columbia","25 weeks; No. 1"
"268","Brown Eyed Handsome Man","The Anthology (Chess)","Chuck Berry","Berry","Leonard Chess, Phil Chess","Sept. '56, Chess","Did Not Chart"
"269","Wonderful World","Portrait of a Legend 1951-1964 (ABKCO)","Sam Cooke","Cooke, Herb Alpert, Lou Adler","Cooke, Adler","May '60, RCA","15 weeks; No. 12"
"270","Marquee Moon","Marquee Moon (Elektra)","Television","Tom Verlaine","Andy Johns","Feb. '77, Elektra","Did Not Chart"
"271","I Cant Explain","The Ultimate Collection (MCA)","The Who","Pete Townshend","Shel Talmy","March '65, Decca","2 weeks; No. 93"
"272","The Wind Cries Mary","Are You Experienced? (MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","May '67, Reprise","8 weeks; No. 65"
"273","Im a Man","His Best: The Chess 50th Anniversary Collection (Chess)","Bo Diddley","Diddley","Leonard Chess","June '55, Checker","Did Not Chart"
"274","Personal Jesus","Violator (Sire)","Depeche Mode","Martin Gore","Depeche Mode, Flood","Nov. '89, Sire","20 weeks; No. 28"
"275","White Room","Wheels of Fire (Polygram)","Cream","Pete Brown, Jack Bruce","Felix Pappalardi","Aug. '68, Atco","11 weeks; No. 6"
"276","How Deep Is Your Love","Saturday Night Fever (Polygram)","Bee Gees","Bee Gees","Bee Gees, Karl Richardson, Albhy Galuten","Sept. '77, RSO","33 weeks; No. 1 "
"277","Unchained Melody","Anthology 1962-1974 (Rhino)","The Righteous Brothers","Alex North, Hy Zaret","Phil Spector","July '65, Philles","13 weeks; No. 4"
"278","Highway 61 Revisited","Highway 61 Revisited (Columbia)","Bob Dylan","Dylan","Bob Johnston","Aug. '65, Columbia","Did not chart"
"279","The Letter","The Letter (Sundazed)","The Box Tops","Wayne Carson Thompson","Dan Penn","July '67, Mala","16 weeks; No. 1"
"280","Complete Control","The Clash (Epic)","The Clash","Mick Jones, Joe Strummer","Lee ""Scratch"" Perry","July '79, Epic","Non-single "
"281","All You Need is Love","Magical Mystery Tour (Capitol)","The Beatles","John Lennon, Paul McCartney","George Martin","July '67, Capitol","11 weeks; No. 1"
"282","Killing Me Softly With His Song","Killing Me Softly (Atlantic)","Roberta Flack","Norman Gimbel, Charles Fox","Joel Dorn","Jan '73, Atlantic","16 weeks; No. 1"
"283","Got My Mojo Working","The Anthology (Chess/MCA)","Muddy Waters","Preston Foster","Phil Chess, Leonard Chess, Willie Dixon","1957, Chess","Did not chart"
"284","Nowhere to Run","The Ultimate Collection (Motown)","Martha and the Vandellas","Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Feb. '65, Gordy","11 weeks; No. 8"
"285","Little Wing","Axis: Bold as Love (Experience Hendrix/MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","Feb. '68, Reprise","Non-single"
"286","Sweet Dreams (Are Made of This)","Sweet Dreams (RCA)","Eurythmics","Annie Lennox, Dave Stewart","Stewart","April '83, RCA","26 weeks; No. 1"
"287","Bad Moon Rising","Green River (Fantasy)","Creedence Clearwater Revival","John Fogerty","Fogerty","April '69, Fantasy","14 weeks; No. 2"
"288","Watching the Detectives","My Aim Is True (Rhino)","Elvis Costello","Costello","Nick Lowe","Nov. '77, Columbia","Did not chart"
"289","Tears in Heaven","""Rush"" Soundtrack (Warner Bros.)","Eric Clapton","Clapton, Will Jennings","Russ Titelman","Jan. '92, Duck/Reprise","26 weeks; No. 2"
"290","All Shook Up","Elvis 30 #1 Hits (RCA)","Elvis Presley","Otis Blackwell, Presley","Steve Sholes","March '57, RCA","30 weeks; No. 1"
"291","The Great Pretender","The Magic Touch: An Anthology (Mercury)","The Platters","Buck Ram","Ram","Dec. '55, Mercury","24 weeks; No. 1"
"292","The Loco-Motion","The Loco-Motion (Rhino)","Little Eva","Gerry Goffin, Carole King","Goffin","June '62, Dimension","16 weeks; No. 1"
"293","Spanish Harlem","The Very Best of Ben E. King (Rhino)","Ben E. King","Phil Spector, Jerry Leiber","Mike Stoller, Leiber","Dec. '60, Atco","16 weeks; No. 10"
"294","That Lady (Part 1 and 2)","The Essential Isley Brothers (Legacy)","The Isley Brothers","The Isley Brothers","The Isley Brothers","July '73, T-Neck","20 weeks; No. 6"
"295","Candle in the Wind","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Oct. '73, MCA",""
"296","California Love","Greatest Hits (Death Row)","Dr. Dre and 2Pac","Dr. Dre, Chris Stainton, Roger Troutman, Larry Troutman, 2Pac","Dr. Dre","Feb. '96, Death Row","24 weeks; No. 6"
"297","La Bamba","The Ritchie Valens Story (Rhino)","Ritchie Valens","William Clauson","Bob Keane","Oct. '58, Del-Fi","15 weeks; No. 22"
"298","Piece of My Heart","Cheap Thrills (Columbia)","Big Brother and the Holding Company","Bert Berns, Jerry Ragovoy","John Simon","Aug. ’68, CBS","12 weeks; No. 12"
"299","Jim Dandy","Soul on Fire: The Best of LaVern Baker (Atlantic)","Lavern Baker","Lincoln Chase","Ahmet Ertegun,Jerry Wexler","Dec. '56, Atlantic","19 weeks; No. 17"
"300","Runaround Sue","Runaround Sue (Capitol)","Dion","Dion DiMucci, Ernie Maresca","Gene Schwartz","Sept. '61, Laurie","14 weeks; No. 1"
"301","Baby I Need Your Loving","The Ultimate Collection (Motown)","The Four Tops","Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland","July '64, Motown","12 weeks; No. 11"
"302","Just My Imagination","Anthology (Motown)","The Temptations","Norman Whitfield, Barrett Strong","Whitfield","Jan. '71, Gordy","15 weeks; No. 1"
"303","Roxanne","Outlandos d'Amour (Interscope)","The Police","Sting","The Police","Jan '79, A&M","13 weeks; No. 32"
"304","Tiny Dancer","Madman Across the Water (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Nov. '71, Uni","7 weeks; No. 41"
"305","Know You Got Soul","Paid in Full (Island)","Eric B. and Rakim","Eric B. and Rakim","Eric B. and Rakim","July '87, 4th and Broadway","Did Not Chart"
"306","Stills","Decade (Reprise)","Crosby","Neil Young","Crosby, Stills, Nash, Young","June '70, Atlantic","9 weeks; No. 14"
"307","Ticket to Ride","Help! (Capitol/Apple)","The Beatles","John Lennon, Paul McCartney","George Martin","April '65, Capitol","11 weeks; No. 1"
"308","Whipping Post","At Fillmore East (Mercury)","The Allman Brothers Band","Gregg Allman","Tom Dowd","Nov. '69, Capricorn","Non-single"
"309","Bitter Sweet Symphony","Urban Hymns (Virgin)","The Verve","Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth","Sept. '97, Virgin","20 weeks; No. 12"
"310","Tell It Like It Is","Tell It Like It Is: Golden Classics (Collectables)","Aaron Neville","George Davis, Lee Diamond","Davis","Nov. '66, Par Lo","14 weeks; No. 2"
"311","Goodbye Yellow Brick Road","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Sept. '73, MCA","17 weeks; No. 2"
"312","Radio Free Europe","Murmur (A&M)","R.E.M.","R.E.M.","Mitch Easter, Don Dixon","July '83, I.R.S.","5 weeks; No. 78"
"313","Pride (In the Name of Love)","The Unforgettable Fire (Island)","U2","Bono, the Edge, Adam Clayton, Larry Mullen Jr.","Brian Eno, Daniel Lanois","Oct. '84, Island","15 weeks; No. 33"
"314","Hit the Road Jack","Ultimate Hits Collection (Rhino)","Ray Charles","Percy Mayfield","Sid Feller","Sept. '61, ABC-Paramount","11 weeks; No. 1"
"315","Maps","Fever to Tell (Interscope)","Yeah Yeah Yeahs","Yeah Yeah Yeahs","David Andrew Sitek","Feb. '04, Interscope","13 weeks; No. 87"
"316","Fake Plastic Trees","The Bends (Capitol)","Radiohead","Radiohead","John Leckie","March '95, Capitol","4 weeks; No. 65"
"317","Another Brick in the Wall Part 2","The Wall (Capitol)","Pink Floyd","Roger Waters","Bob Ezrin, Waters, David Gilmour","Nov. '79, Columbia","25 weeks; No. 1"
"318","Brown Eyed Handsome Man","The Anthology (Chess)","Chuck Berry","Berry","Leonard Chess, Phil Chess","Sept. '56, Chess","Did Not Chart"
"319","Wonderful World","Portrait of a Legend 1951-1964 (ABKCO)","Sam Cooke","Cooke, Herb Alpert, Lou Adler","Cooke, Adler","May '60, RCA","15 weeks; No. 12"
"320","Marquee Moon","Marquee Moon (Elektra)","Television","Tom Verlaine","Andy Johns","Feb. '77, Elektra","Did Not Chart"
"321","I Cant Explain","The Ultimate Collection (MCA)","The Who","Pete Townshend","Shel Talmy","March '65, Decca","2 weeks; No. 93"
"322","The Wind Cries Mary","Are You Experienced? (MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","May '67, Reprise","8 weeks; No. 65"
"323","Im a Man","His Best: The Chess 50th Anniversary Collection (Chess)","Bo Diddley","Diddley","Leonard Chess","June '55, Checker","Did Not Chart"
"324","Personal Jesus","Violator (Sire)","Depeche Mode","Martin Gore","Depeche Mode, Flood","Nov. '89, Sire","20 weeks; No. 28"
"325","White Room","Wheels of Fire (Polygram)","Cream","Pete Brown, Jack Bruce","Felix Pappalardi","Aug. '68, Atco","11 weeks; No. 6"
"326","How Deep Is Your Love","Saturday Night Fever (Polygram)","Bee Gees","Bee Gees","Bee Gees, Karl Richardson, Albhy Galuten","Sept. '77, RSO","33 weeks; No. 1 "
"327","Unchained Melody","Anthology 1962-1974 (Rhino)","The Righteous Brothers","Alex North, Hy Zaret","Phil Spector","July '65, Philles","13 weeks; No. 4"
"328","Highway 61 Revisited","Highway 61 Revisited (Columbia)","Bob Dylan","Dylan","Bob Johnston","Aug. '65, Columbia","Did not chart"
"329","The Letter","The Letter (Sundazed)","The Box Tops","Wayne Carson Thompson","Dan Penn","July '67, Mala","16 weeks; No. 1"
"330","Complete Control","The Clash (Epic)","The Clash","Mick Jones, Joe Strummer","Lee ""Scratch"" Perry","July '79, Epic","Non-single "
"331","All You Need is Love","Magical Mystery Tour (Capitol)","The Beatles","John Lennon, Paul McCartney","George Martin","July '67, Capitol","11 weeks; No. 1"
"332","Killing Me Softly With His Song","Killing Me Softly (Atlantic)","Roberta Flack","Norman Gimbel, Charles Fox","Joel Dorn","Jan '73, Atlantic","16 weeks; No. 1"
"333","Got My Mojo Working","The Anthology (Chess/MCA)","Muddy Waters","Preston Foster","Phil Chess, Leonard Chess, Willie Dixon","1957, Chess","Did not chart"
"334","Nowhere to Run","The Ultimate Collection (Motown)","Martha and the Vandellas","Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Feb. '65, Gordy","11 weeks; No. 8"
"335","Little Wing","Axis: Bold as Love (Experience Hendrix/MCA)","The Jimi Hendrix Experience","Hendrix","Chas Chandler","Feb. '68, Reprise","Non-single"
"336","Sweet Dreams (Are Made of This)","Sweet Dreams (RCA)","Eurythmics","Annie Lennox, Dave Stewart","Stewart","April '83, RCA","26 weeks; No. 1"
"337","Bad Moon Rising","Green River (Fantasy)","Creedence Clearwater Revival","John Fogerty","Fogerty","April '69, Fantasy","14 weeks; No. 2"
"338","Watching the Detectives","My Aim Is True (Rhino)","Elvis Costello","Costello","Nick Lowe","Nov. '77, Columbia","Did not chart"
"339","Tears in Heaven","""Rush"" Soundtrack (Warner Bros.)","Eric Clapton","Clapton, Will Jennings","Russ Titelman","Jan. '92, Duck/Reprise","26 weeks; No. 2"
"340","All Shook Up","Elvis 30 #1 Hits (RCA)","Elvis Presley","Otis Blackwell, Presley","Steve Sholes","March '57, RCA","30 weeks; No. 1"
"341","The Great Pretender","The Magic Touch: An Anthology (Mercury)","The Platters","Buck Ram","Ram","Dec. '55, Mercury","24 weeks; No. 1"
"342","The Loco-Motion","The Loco-Motion (Rhino)","Little Eva","Gerry Goffin, Carole King","Goffin","June '62, Dimension","16 weeks; No. 1"
"343","Spanish Harlem","The Very Best of Ben E. King (Rhino)","Ben E. King","Phil Spector, Jerry Leiber","Mike Stoller, Leiber","Dec. '60, Atco","16 weeks; No. 10"
"344","That Lady (Part 1 and 2)","The Essential Isley Brothers (Legacy)","The Isley Brothers","The Isley Brothers","The Isley Brothers","July '73, T-Neck","20 weeks; No. 6"
"345","Candle in the Wind","Goodbye Yellow Brick Road (Island)","Elton John","John, Bernie Taupin","Gus Dudgeon","Oct. '73, MCA",""
